City,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
Ahmedabad,18.22,17.15,,0.92,27.64,133.36,0,0.02,0
Ahmedabad,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77
Ahmedabad,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25
Ahmedabad,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1
Ahmedabad,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78
Ahmedabad,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93
Ahmedabad,40.62,130.77,,112.16,32.28,33.47,0,0,0
Ahmedabad,36.74,96.75,,80.87,38.54,31.89,0,0,0
Ahmedabad,31,48,,29.16,58.68,25.75,0,0,0
Ahmedabad,7.04,0,,,8.29,4.55,0,0,0
Ahmedabad,55.8,24.53,,132.07,25.03,6.79,0,0,0
Ahmedabad,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88
Ahmedabad,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5
Ahmedabad,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19
Ahmedabad,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35
Ahmedabad,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01
Ahmedabad,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27
Ahmedabad,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75
Ahmedabad,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8
Ahmedabad,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97
Ahmedabad,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65
Ahmedabad,17.51,22.33,,9.05,23.71,42.22,0,0,4.51
Ahmedabad,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95
Ahmedabad,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54
Ahmedabad,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94
Ahmedabad,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55
Ahmedabad,21.7,23.26,,2.19,43.28,41.1,0.02,0,1.65
Ahmedabad,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41
Ahmedabad,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14
Ahmedabad,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81
Ahmedabad,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67
Ahmedabad,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87
Ahmedabad,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61
Ahmedabad,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87
Ahmedabad,22.83,24,,2.37,25.73,47.3,0,0,0
Ahmedabad,21.39,23.31,,2.6,32.66,53.54,0,0,0
Ahmedabad,26.94,26.83,,1.16,67.41,59.3,0,0,0
Ahmedabad,31.32,37.73,,7.29,80.09,44.76,0,0,0
Ahmedabad,27.3,33.42,,8.92,54.28,47.42,0,0,0.27
Ahmedabad,24.27,26.86,,4.32,48.73,39.94,0.02,0,3.55
Ahmedabad,18.21,18.75,,1.41,35.91,56.15,0,0,3.31
Ahmedabad,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49
Ahmedabad,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51
Ahmedabad,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35
Ahmedabad,47.58,77.85,,37.49,99.72,36.47,17,52.66,6.98
Ahmedabad,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22
Ahmedabad,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4
Ahmedabad,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52
Ahmedabad,25.93,41.91,,16.24,43.11,37.43,10,32.41,4.04
Ahmedabad,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25
Ahmedabad,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48
Ahmedabad,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44
Ahmedabad,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47
